"sample" "pop" "lat" "lon" "ID" "Annual_Mean_Temperature" "Mean_Diurnal_Range" "Isothermality" "Temperature_Seasonality" "Max_Temperature_of_Warmest_Month" "Min_Temperature_of_Coldest_Month" "Temperature_Annual_Range" "Mean_Temperature_of_Wettest_Quarter" "Mean_Temperature_of_Driest_Quarter" "Mean_Temperature_of_Warmest_Quarter" "Mean_Temperature_of_Coldest_Quarter" "Annual_Precipitation" "Precipitation_of_Wettest_Month" "Precipitation_of_Driest_Month" "Precipitation_Seasonality" "Precipitation_of_Wettest_Quarter" "Precipitation_of_Driest_Quarter" "Precipitation_of_Warmest_Quarter" "Precipitation_of_Coldest_Quarter"
991 "SWE" 55.3833 14.05 1 7.87895441055298 6.65657567977905 28.4296741485596 630.287170410156 21.154182434082 -2.25999999046326 23.4141826629639 8.74078750610352 10.3672122955322 15.9003028869629 0.601515173912048 645 71 37 22.466157913208 208 123 151 161
992 "SWE" 55.3864 14.0532 2 7.87895441055298 6.65657567977905 28.4296741485596 630.287170410156 21.154182434082 -2.25999999046326 23.4141826629639 8.74078750610352 10.3672122955322 15.9003028869629 0.601515173912048 645 71 37 22.466157913208 208 123 151 161
997 "SWE" 55.3866 14.0534 3 7.87895441055298 6.65657567977905 28.4296741485596 630.287170410156 21.154182434082 -2.25999999046326 23.4141826629639 8.74078750610352 10.3672122955322 15.9003028869629 0.601515173912048 645 71 37 22.466157913208 208 123 151 161
1002 "SWE" 55.3868 14.0536 4 7.87895441055298 6.65657567977905 28.4296741485596 630.287170410156 21.154182434082 -2.25999999046326 23.4141826629639 8.74078750610352 10.3672122955322 15.9003028869629 0.601515173912048 645 71 37 22.466157913208 208 123 151 161
1006 "SWE" 55.387 14.0538 5 7.87895441055298 6.65657567977905 28.4296741485596 630.287170410156 21.154182434082 -2.25999999046326 23.4141826629639 8.74078750610352 10.3672122955322 15.9003028869629 0.601515173912048 645 71 37 22.466157913208 208 123 151 161
1061 "SWE" 55.7167 14.1333 6 7.22157287597656 6.84814548492432 29.2646427154541 620.885131835938 20.7164993286133 -2.68425011634827 23.400749206543 4.24149990081787 2.21266651153564 15.1892910003662 0.077583335340023 728 75 42 19.1165523529053 223 143 182 183
1062 "SWE" 55.7206 14.1373 7 7.22157287597656 6.84814548492432 29.2646427154541 620.885131835938 20.7164993286133 -2.68425011634827 23.400749206543 4.24149990081787 2.21266651153564 15.1892910003662 0.077583335340023 728 75 42 19.1165523529053 223 143 182 183
1063 "SWE" 55.7208 14.1375 8 7.22157287597656 6.84814548492432 29.2646427154541 620.885131835938 20.7164993286133 -2.68425011634827 23.400749206543 4.24149990081787 2.21266651153564 15.1892910003662 0.077583335340023 728 75 42 19.1165523529053 223 143 182 183
1066 "SWE" 55.721 14.1377 9 7.22157287597656 6.84814548492432 29.2646427154541 620.885131835938 20.7164993286133 -2.68425011634827 23.400749206543 4.24149990081787 2.21266651153564 15.1892910003662 0.077583335340023 728 75 42 19.1165523529053 223 143 182 183
1070 "SWE" 55.7212 14.1379 10 7.22157287597656 6.84814548492432 29.2646427154541 620.885131835938 20.7164993286133 -2.68425011634827 23.400749206543 4.24149990081787 2.21266651153564 15.1892910003662 0.077583335340023 728 75 42 19.1165523529053 223 143 182 183
